Date;Bitcoin_Price
13/03/2022;37849664063
14/03/2022;39666753906
15/03/2022;39338785156
16/03/2022;41143929688
17/03/2022;40951378906
18/03/2022;41801156250
19/03/2022;42190652344
20/03/2022;41247824219
21/03/2022;41077996094
22/03/2022;42358808594
23/03/2022;42892957031
24/03/2022;43960933594
25/03/2022;44348730469
26/03/2022;44500828125
